Codigo        Descripcion del Med.                 Cant.        DNI         Nombre                                  
30007         DICLOFENACO SODICO 1MG GTS 5 ML         14        93282118    Zambrano/Ofelia                         
14962         HIERRO DEXTRANO AMP4                    6         93282118    Zambrano/Ofelia                         
91282         LEVONORGESTREL 1.5MG /1 TAB             5         43704548    Vizcardo/Maribel                        
55021         AMOXICILINA 500MG/5ML SUSP              5         43704548    Vizcardo/Maribel                        
70116         LACTULOSA 125ML                         21        43704548    Vizcardo/Maribel                        
75565         MICONAZOL 20 GR CRA                     1         43704548    Vizcardo/Maribel                        
11592         TERBINAFINA 1% CRA 20 GR                23        43704548    Vizcardo/Maribel                        
96881         GABAPENTINA 300 MG C/15                 8         20371464    Lozada/Heli                             
96881         GABAPENTINA 300 MG C/15                 23        20371464    Lozada/Heli                             
77466         RAMIPRIL 16 TAB/5 MG                    6         93939698    Henriquez/Silvana                       
96554         PIROXICAM 20MG T20                      17        93939698    Henriquez/Silvana                       
77466         RAMIPRIL 16 TAB/5 MG                    14        93939698    Henriquez/Silvana                       
97465         GLIBENCLAMIDA 5 MG C/50                 27        86988155    Cerna/Cinthia                           
58259         SULFADIAZINA DE PLATA CRA 28GR          15        86988155    Cerna/Cinthia                           
16055         AMBROXOL C/20 TAB                       18        86988155    Cerna/Cinthia                           
58259         SULFADIAZINA DE PLATA CRA 28GR          25        86988155    Cerna/Cinthia                           
34070         FEXOFENADINA C/10 180MG                 10        34697743    Ayala/Ericka                            
34070         FEXOFENADINA C/10 180MG                 7         34697743    Ayala/Ericka                            
74680         FENITOINA T50 100MG                     3         34697743    Ayala/Ericka                            
16055         AMBROXOL C/20 TAB                       23        34697743    Ayala/Ericka                            
72495         ACIDO GLUTAMICO 600 MG C/100            9         34697743    Ayala/Ericka                            
37549         TOPIRAMATO 100MG 20T                    7         32538825    Hijar/Martin                            
37549         TOPIRAMATO 100MG 20T                    14        32538825    Hijar/Martin                            
16055         AMBROXOL C/20 TAB                       30        32538825    Hijar/Martin                            
18672         TINIDAZOL 500MG 8T                      29        22598563    Sueldo/Adria                            
31883         ACIDO NALIDIXICO SUSP                   34        22598563    Sueldo/Adria                            
53846         CLENBUTEROL .02MG 50T                   16        37282858    Soma/Lourdes                            
13364         MULTIVITAMINAS Y MINERALES C60          32        37282858    Soma/Lourdes                            
18672         TINIDAZOL 500MG 8T                      5         93939698    Henriquez/Silvana                       
55701         EUCALIPTO GUAYACOL PERLAS30             20        93939698    Henriquez/Silvana                       
98261         ACICLOVIR 200 MG C/25 CPR               33        93939698    Henriquez/Silvana                       
39779         OMEPRAZOL 20 MG C/14                    14        93939698    Henriquez/Silvana                       
57269         SIMVASTATINA 10 MG C14                  34        95656771    Raffo/Rolando                           
14962         HIERRO DEXTRANO AMP4                    19        95656771    Raffo/Rolando                           
79996         LANSOPRAZOL 15 MG C/14                  16        95656771    Raffo/Rolando                           
58036         PENTOXIFILINA 400MG T30                 5         95656771    Raffo/Rolando                           
58036         PENTOXIFILINA 400MG T30                 22        95656771    Raffo/Rolando                           
76238         BEZOCAINA 10GR GEL                      13        95656771    Raffo/Rolando                           
92517         ISOCONAZOL CR 20GR GI                   5         57182371    Moscoso/Fiorella                        
36711         TIBOLONA 2.5MG 30T                      11        57182371    Moscoso/Fiorella                        
30796         PROPANOLOL 40 MG C/20 TAB               22        57182371    Moscoso/Fiorella                        
92517         ISOCONAZOL CR 20GR GI                   31        57182371    Moscoso/Fiorella                        
12388         PROTEINAS+CREATINA 500 GR 30T           6         57182371    Moscoso/Fiorella                        
50450         SERTRALINA 50MG C/14 T                  12        93231760    Zarate/Alexander                        
50450         SERTRALINA 50MG C/14 T                  32        93231760    Zarate/Alexander                        
53166         ASTEMIZOL SUSP 200MG                    3         93231760    Zarate/Alexander                        
53166         ASTEMIZOL SUSP 200MG                    27        93231760    Zarate/Alexander                        
33200         GLUCOSAMINA 30C 500MG                   33        93231760    Zarate/Alexander                        
33390         CORTILONA CRA 30GR                      12        68269451    Asmad/Adria                             
76238         BEZOCAINA 10GR GEL                      33        95656771    Raffo/Rolando                           
59121         DESLORATADINA 5MG 10T                   8         36471787    Pena/Glenda                             
77203         ONDANSETRON 8MG C10T                    31        36471787    Pena/Glenda                             
55021         AMOXICILINA 500MG/5ML SUSP              6         36471787    Pena/Glenda                             
70116         LACTULOSA 125ML                         35        45914393    Lozada/Antonio                          
11592         TERBINAFINA 1% CRA 20 GR                30        45914393    Lozada/Antonio                          
53846         CLENBUTEROL .02MG 50T                   1         45914393    Lozada/Antonio                          
30430         PRUEBA DE EMBARAZO                      15        45914393    Lozada/Antonio                          
11592         TERBINAFINA 1% CRA 20 GR                17        45914393    Lozada/Antonio                          
14962         HIERRO DEXTRANO AMP4                    27        53420926    Prado/Juan                              
54692         NAFAZOLINA SOL OFT 15 ml                13        14956687    Luna/Waldemar                           
54692         NAFAZOLINA SOL OFT 15 ml                33        81647285    Vega/Henrry                             
76238         BEZOCAINA 10GR GEL                      26        81647285    Vega/Henrry                             
70303         AZITROMICINA SUSP                       14        81647285    Vega/Henrry                             
70303         AZITROMICINA SUSP                       19        81647285    Vega/Henrry                             
76238         BEZOCAINA 10GR GEL                      22        81647285    Vega/Henrry                             
55021         AMOXICILINA 500MG/5ML SUSP              32        36471787    Pena/Glenda                             
70226         CALCIO+VITAMINA D SUSP                  19        36471787    Pena/Glenda                             
59121         DESLORATADINA 5MG 10T                   26        36471787    Pena/Glenda                             
30796         PROPANOLOL 40 MG C/20 TAB               5         54815159    Patino/Delicia                          
59121         DESLORATADINA 5MG 10T                   27        54815159    Patino/Delicia                          
94415         PRAVASTATINA 10 MG C/15                 21        13731806    Salamanca/Virginia                      
74924         TAMSULOSINA 0.4 MG CAPS 20              35        13731806    Salamanca/Virginia                      
16813         VANCOMICINA 500MG SOL INY               19        13731806    Salamanca/Virginia                      
58200         FLUCONAZOL 150MG. 1C                    5         13731806    Salamanca/Virginia                      
94415         PRAVASTATINA 10 MG C/15                 35        62126128    Durand/Enrique                          
94415         PRAVASTATINA 10 MG C/15                 9         62126128    Durand/Enrique                          
75565         MICONAZOL 20 GR CRA                     26        62126128    Durand/Enrique                          
73972         VITAMINA E 400 MG C90 CAPS              8         22598563    Sueldo/Adria                            
79996         LANSOPRAZOL 15 MG C/14                  19        22598563    Sueldo/Adria                            
18672         TINIDAZOL 500MG 8T                      15        22598563    Sueldo/Adria                            
53166         ASTEMIZOL SUSP 200MG                    20        93961840    Pairazaman/Tatiana                      
73174         VITAMINA P/DIABETICOS 30T               9         93961840    Pairazaman/Tatiana                      
39088         NORFLOXACINO T20 400MG                  21        93961840    Pairazaman/Tatiana                      
30796         PROPANOLOL 40 MG C/20 TAB               31        93961840    Pairazaman/Tatiana                      
39088         NORFLOXACINO T20 400MG                  30        93961840    Pairazaman/Tatiana                      
58200         FLUCONAZOL 150MG. 1C                    31        20371464    Lozada/Heli                             
72061         DEFLAZACORT 30MG 10T                    35        20371464    Lozada/Heli                             
92628         KETOPROFENO 100MG C15                   19        20371464    Lozada/Heli                             
57269         SIMVASTATINA 10 MG C14                  33        20371464    Lozada/Heli                             
70226         CALCIO+VITAMINA D SUSP                  25        32538825    Hijar/Martin                            
77203         ONDANSETRON 8MG C10T                    15        32538825    Hijar/Martin                            
90198         NITROFURAL 6MG 6/OV                     20        35852072    Jauregui/Victor                         
79996         LANSOPRAZOL 15 MG C/14                  12        35852072    Jauregui/Victor                         
76360         DICLOXACILINA 250 MG C20                27        35852072    Jauregui/Victor                         
74924         TAMSULOSINA 0.4 MG CAPS 20              12        35852072    Jauregui/Victor                         
70116         LACTULOSA 125ML                         8         35852072    Jauregui/Victor                         
34080         ELECTROLIT FRESA 500ML                  17        63640178    Rodriguez/Blanca                        
77466         RAMIPRIL 16 TAB/5 MG                    7         63640178    Rodriguez/Blanca                        
70807         LINCOMICINA 600 MG INY C/3              14        93282118    Zambrano/Ofelia                         
91282         LEVONORGESTREL 1.5MG /1 TAB             12        93282118    Zambrano/Ofelia                         
11370         KETOROLACO 4T 30MG SUBLINGUAL           5         35606314    Mercado/Elia                            
12388         PROTEINAS+CREATINA 500 GR 30T           11        57182371    Moscoso/Fiorella                        
92517         ISOCONAZOL CR 20GR GI                   13        57182371    Moscoso/Fiorella                        
57036         OXOLAMINA JBE 100ML                     14        62126128    Durand/Enrique                          
75565         MICONAZOL 20 GR CRA                     28        62126128    Durand/Enrique                          
55813         SALBUTAMOL 4MG T30                      31        54149342    Leyva/Diana                             
90300         FLUOXETINA 20 MG C/14                   1         54149342    Leyva/Diana                             
31189         CEFADROXILO 500MG C/16CAP               16        54149342    Leyva/Diana                             
93578         SUCRALFATO 40 TAB/1G                    13        65912822    Camacho/Ydali                           
70225         CEFTRIAXONA 1.0GR IM G I                31        65912822    Camacho/Ydali                           
93578         SUCRALFATO 40 TAB/1G                    1         65912822    Camacho/Ydali                           
34080         ELECTROLIT FRESA 500ML                  6         65912822    Camacho/Ydali                           
55021         AMOXICILINA 500MG/5ML SUSP              10        65912822    Camacho/Ydali                           
72939         VITIS VINIFERA (UVA) 60C                1         65912822    Camacho/Ydali                           
14075         CLOTRIMAZOL C/6 CPR VAG                 32        81647285    Vega/Henrry                             
70024         METILDOPA 250 MG 30 TAB                 35        81647285    Vega/Henrry                             
39172         IBUPROFENO 400MG T10                    14        81647285    Vega/Henrry                             
79996         LANSOPRAZOL 15 MG C/14                  23        99891737    Contreras/Johana                        
91282         LEVONORGESTREL 1.5MG /1 TAB             33        99891737    Contreras/Johana                        
13364         MULTIVITAMINAS Y MINERALES C60          18        99891737    Contreras/Johana                        
70116         LACTULOSA 125ML                         30        99891737    Contreras/Johana                        
53846         CLENBUTEROL .02MG 50T                   17        99891737    Contreras/Johana                        
30430         PRUEBA DE EMBARAZO                      22        99891737    Contreras/Johana                        
75565         MICONAZOL 20 GR CRA                     23        62287143    Wong/Beatriz                            
37007         DIFENHIDRAMINA 250MG JBE 120ML          4         62287143    Wong/Beatriz                            
12388         PROTEINAS+CREATINA 500 GR 30T           25        62287143    Wong/Beatriz                            
76238         BEZOCAINA 10GR GEL                      23        68114999    Rios/Ines                               
31311         METILPREDNISOLONA 500MG                 19        68114999    Rios/Ines                               
17804         PIROXICAM 30 GM CRA                     32        68114999    Rios/Ines                               
53200         VITAMINA+OMEGA 3 30T                    9         68114999    Rios/Ines                               
13364         MULTIVITAMINAS Y MINERALES C60          18        68114999    Rios/Ines                               
16681         SIBUTRAMINA 10 MG C15                   34        12484697    Diaz/Enrique                            
36711         TIBOLONA 2.5MG 30T                      10        12484697    Diaz/Enrique                            
58259         SULFADIAZINA DE PLATA CRA 28GR          12        12484697    Diaz/Enrique                            
96031         CETIRIZINA 10 MG TABS C/10              27        51465986    Sam/Ines                                
70024         METILDOPA 250 MG 30 TAB                 29        58643376    Arroyo/Natalia                          
91282         LEVONORGESTREL 1.5MG /1 TAB             2         58643376    Arroyo/Natalia                          
14962         HIERRO DEXTRANO AMP4                    8         17299012    Suarez/Amaru                            
13364         MULTIVITAMINAS Y MINERALES C60          7         35347567    Sedano/Elia                             
16359         NAPROXENO 250 MG TAB C/30               9         35347567    Sedano/Elia                             
92628         KETOPROFENO 100MG C15                   25        20371464    Lozada/Heli                             
92628         KETOPROFENO 100MG C15                   31        20371464    Lozada/Heli                             
58252         KETOTIFENO SOL 120ML                    15        20371464    Lozada/Heli                             
72969         ISOSORBIDE 10MG T/20                    12        62126128    Durand/Enrique                          
75565         MICONAZOL 20 GR CRA                     6         62126128    Durand/Enrique                          
57269         SIMVASTATINA 10 MG C14                  14        62126128    Durand/Enrique                          
30796         PROPANOLOL 40 MG C/20 TAB               26        51465986    Sam/Ines                                
34080         ELECTROLIT FRESA 500ML                  14        51465986    Sam/Ines                                
96031         CETIRIZINA 10 MG TABS C/10              28        51465986    Sam/Ines                                
50450         SERTRALINA 50MG C/14 T                  11        51465986    Sam/Ines                                
91653         SAL DE UVAS PICOT                       21        71422479    Lozada/Felicita                         
36822         CLARITROMICINA 125MG SUSP               8         71422479    Lozada/Felicita                         
12388         PROTEINAS+CREATINA 500 GR 30T           18        71422479    Lozada/Felicita                         
72969         ISOSORBIDE 10MG T/20                    8         62287143    Wong/Beatriz                            
39779         OMEPRAZOL 20 MG C/14                    33        59561864    Rosemberg/Julio                         
70024         METILDOPA 250 MG 30 TAB                 12        59561864    Rosemberg/Julio                         
36822         CLARITROMICINA 125MG SUSP               15        77324146    Moscoso/Janet                           
33276         INDOMETACINA C30                        16        77324146    Moscoso/Janet                           
76247         FLUOCINOLONA CREMA 30G                  28        77324146    Moscoso/Janet                           
37549         TOPIRAMATO 100MG 20T                    5         77324146    Moscoso/Janet                           
59121         DESLORATADINA 5MG 10T                   19        77324146    Moscoso/Janet                           
30220         AMOXICILINA+BROMEXINA C12               13        77324146    Moscoso/Janet                           
76238         BEZOCAINA 10GR GEL                      13        77324146    Moscoso/Janet                           
33390         CORTILONA CRA 30GR                      8         80694546    Ramirez/Karina                          
33390         CORTILONA CRA 30GR                      16        80694546    Ramirez/Karina                          
51148         PANTOPRAZOL 40MG C/14                   20        80694546    Ramirez/Karina                          
92560         EXALVER FENILEFRINA PED. 30 ML          13        80694546    Ramirez/Karina                          
70303         AZITROMICINA SUSP                       10        80694546    Ramirez/Karina                          
53200         VITAMINA+OMEGA 3 30T                    24        80694546    Ramirez/Karina                          
77534         METRONIDAZOL 500 MG T30                 23        80694546    Ramirez/Karina                          
30796         PROPANOLOL 40 MG C/20 TAB               7         51465986    Sam/Ines                                
59121         DESLORATADINA 5MG 10T                   9         36471787    Pena/Glenda                             
74924         TAMSULOSINA 0.4 MG CAPS 20              10        35606314    Mercado/Elia                            
59395         VITAMINICO GERIATRICO C30               12        72973662    Vargas/Daniel                           
17804         PIROXICAM 30 GM CRA                     33        72973662    Vargas/Daniel                           
76238         BEZOCAINA 10GR GEL                      26        68269451    Asmad/Adria                             
31311         METILPREDNISOLONA 500MG                 31        68269451    Asmad/Adria                             
17804         PIROXICAM 30 GM CRA                     14        68269451    Asmad/Adria                             
13364         MULTIVITAMINAS Y MINERALES C60          29        68269451    Asmad/Adria                             
14075         CLOTRIMAZOL C/6 CPR VAG                 35        68269451    Asmad/Adria                             
30796         PROPANOLOL 40 MG C/20 TAB               31        27709566    Ortiz/Raul                              
70225         CEFTRIAXONA 1.0GR IM G I                23        27709566    Ortiz/Raul                              
70225         CEFTRIAXONA 1.0GR IM G I                19        27709566    Ortiz/Raul                              
17790         DICLOFENACO 100MG 20T                   21        27709566    Ortiz/Raul                              
70226         CALCIO+VITAMINA D SUSP                  24        45914393    Lozada/Antonio                          
13364         MULTIVITAMINAS Y MINERALES C60          20        45914393    Lozada/Antonio                          
13364         MULTIVITAMINAS Y MINERALES C60          17        45914393    Lozada/Antonio                          
30430         PRUEBA DE EMBARAZO                      24        45914393    Lozada/Antonio                          
11592         TERBINAFINA 1% CRA 20 GR                1         45914393    Lozada/Antonio                          
31189         CEFADROXILO 500MG C/16CAP               12        93961840    Pairazaman/Tatiana                      
31189         CEFADROXILO 500MG C/16CAP               18        93961840    Pairazaman/Tatiana                      
30796         PROPANOLOL 40 MG C/20 TAB               1         93961840    Pairazaman/Tatiana                      
73174         VITAMINA P/DIABETICOS 30T               11        93961840    Pairazaman/Tatiana                      
39172         IBUPROFENO 400MG T10                    27        30246960    Escalante/Ines                          
33200         GLUCOSAMINA 30C 500MG                   14        30246960    Escalante/Ines                          
90300         FLUOXETINA 20 MG C/14                   19        30246960    Escalante/Ines                          
97465         GLIBENCLAMIDA 5 MG C/50                 8         30246960    Escalante/Ines                          
37007         DIFENHIDRAMINA 250MG JBE 120ML          31        61061535    Solis/Maria                             
72969         ISOSORBIDE 10MG T/20                    8         61061535    Solis/Maria                             
36822         CLARITROMICINA 125MG SUSP               11        77324146    Moscoso/Janet                           
76247         FLUOCINOLONA CREMA 30G                  25        77324146    Moscoso/Janet                           
37549         TOPIRAMATO 100MG 20T                    35        77324146    Moscoso/Janet                           
58200         FLUCONAZOL 150MG. 1C                    35        85395219    Fuentes/Patricia                        
55813         SALBUTAMOL 4MG T30                      23        85395219    Fuentes/Patricia                        
70116         LACTULOSA 125ML                         9         45914393    Lozada/Antonio                          
91282         LEVONORGESTREL 1.5MG /1 TAB             17        45914393    Lozada/Antonio                          
53846         CLENBUTEROL .02MG 50T                   34        45914393    Lozada/Antonio                          
53166         ASTEMIZOL SUSP 200MG                    32        72330000    Vega/Carmela                            
36622         TEOFILINA 20 TAB/100 MG                 35        72330000    Vega/Carmela                            
77203         ONDANSETRON 8MG C10T                    33        72330000    Vega/Carmela                            
53166         ASTEMIZOL SUSP 200MG                    14        72330000    Vega/Carmela                            
33311         ALBENDAZOL 200MG C/6 TAB                4         72330000    Vega/Carmela                            
57505         ESPIRONOLACTONA 25MG 20T                31        72330000    Vega/Carmela                            
16299         AZITROMICINA 500MG C/3T                 18        72330000    Vega/Carmela                            
77203         ONDANSETRON 8MG C10T                    16        72330000    Vega/Carmela                            
55021         AMOXICILINA 500MG/5ML SUSP              11        36934113    Serrano/Arturo                          
59121         DESLORATADINA 5MG 10T                   26        36934113    Serrano/Arturo                          
30428         PROPAFENONA 150 MG/20 TAB               26        36934113    Serrano/Arturo                          
70226         CALCIO+VITAMINA D SUSP                  9         36934113    Serrano/Arturo                          
57036         OXOLAMINA JBE 100ML                     34        62287143    Wong/Beatriz                            
34027         DANAZOL 100MG 50T                       22        62287143    Wong/Beatriz                            
75565         MICONAZOL 20 GR CRA                     1         62287143    Wong/Beatriz                            
76360         DICLOXACILINA 250 MG C20                13        35852072    Jauregui/Victor                         
58252         KETOTIFENO SOL 120ML                    23        35852072    Jauregui/Victor                         
70116         LACTULOSA 125ML                         19        35852072    Jauregui/Victor                         
76360         DICLOXACILINA 250 MG C20                5         35852072    Jauregui/Victor                         
16813         VANCOMICINA 500MG SOL INY               33        45201670    Guevara/Milena                          
90300         FLUOXETINA 20 MG C/14                   31        45201670    Guevara/Milena                          
70225         CEFTRIAXONA 1.0GR IM G I                26        45201670    Guevara/Milena                          
36208         ENALAPRIL T/30 10MG                     32        45201670    Guevara/Milena                          
72061         DEFLAZACORT 30MG 10T                    31        45201670    Guevara/Milena                          
30007         DICLOFENACO SODICO 1MG GTS 5 ML         8         45201670    Guevara/Milena                          
77203         ONDANSETRON 8MG C10T                    33        32538825    Hijar/Martin                            
93578         SUCRALFATO 40 TAB/1G                    13        66091742    Baca/Milagros                           
70807         LINCOMICINA 600 MG INY C/3              8         66091742    Baca/Milagros                           
70225         CEFTRIAXONA 1.0GR IM G I                11        66091742    Baca/Milagros                           
55021         AMOXICILINA 500MG/5ML SUSP              2         66091742    Baca/Milagros                           
70226         CALCIO+VITAMINA D SUSP                  29        36934113    Serrano/Arturo                          
76360         DICLOXACILINA 250 MG C20                23        68114999    Rios/Ines                               
91282         LEVONORGESTREL 1.5MG /1 TAB             21        59561864    Rosemberg/Julio                         
76247         FLUOCINOLONA CREMA 30G                  33        59561864    Rosemberg/Julio                         
70807         LINCOMICINA 600 MG INY C/3              18        93961840    Pairazaman/Tatiana                      
79189         CLORFENAMINA 4MG T20                    18        93961840    Pairazaman/Tatiana                      
72969         ISOSORBIDE 10MG T/20                    16        62126128    Durand/Enrique                          
57269         SIMVASTATINA 10 MG C14                  9         62126128    Durand/Enrique                          
37007         DIFENHIDRAMINA 250MG JBE 120ML          10        62126128    Durand/Enrique                          
13364         MULTIVITAMINAS Y MINERALES C60          10        99891737    Contreras/Johana                        
79996         LANSOPRAZOL 15 MG C/14                  13        99891737    Contreras/Johana                        
37549         TOPIRAMATO 100MG 20T                    18        77440060    Escalante/Emigdio                       
72939         VITIS VINIFERA (UVA) 60C                17        77440060    Escalante/Emigdio                       
98261         ACICLOVIR 200 MG C/25 CPR               35        81539774    Alfaro/Erick                            
34027         DANAZOL 100MG 50T                       33        85395219    Fuentes/Patricia                        
55813         SALBUTAMOL 4MG T30                      16        85395219    Fuentes/Patricia                        
55813         SALBUTAMOL 4MG T30                      22        85395219    Fuentes/Patricia                        
79851         CEFOTAXIMA 1GR IM                       23        85395219    Fuentes/Patricia                        
79851         CEFOTAXIMA 1GR IM                       2         85395219    Fuentes/Patricia                        
77203         ONDANSETRON 8MG C10T                    9         36934113    Serrano/Arturo                          
30428         PROPAFENONA 150 MG/20 TAB               22        36934113    Serrano/Arturo                          
55021         AMOXICILINA 500MG/5ML SUSP              30        36934113    Serrano/Arturo                          
70226         CALCIO+VITAMINA D SUSP                  29        36934113    Serrano/Arturo                          
17804         PIROXICAM 30 GM CRA                     17        54815159    Patino/Delicia                          
30796         PROPANOLOL 40 MG C/20 TAB               15        54815159    Patino/Delicia                          
36711         TIBOLONA 2.5MG 30T                      34        54815159    Patino/Delicia                          
37549         TOPIRAMATO 100MG 20T                    6         54815159    Patino/Delicia                          
17804         PIROXICAM 30 GM CRA                     23        54815159    Patino/Delicia                          
59121         DESLORATADINA 5MG 10T                   15        54815159    Patino/Delicia                          
79851         CEFOTAXIMA 1GR IM                       32        80694546    Ramirez/Karina                          
92560         EXALVER FENILEFRINA PED. 30 ML          34        80694546    Ramirez/Karina                          
33390         CORTILONA CRA 30GR                      15        80694546    Ramirez/Karina                          
77466         RAMIPRIL 16 TAB/5 MG                    31        80694546    Ramirez/Karina                          
53200         VITAMINA+OMEGA 3 30T                    25        80694546    Ramirez/Karina                          
52072         BROMOCRIPTINA 2.5MG C/14TAB             23        80694546    Ramirez/Karina                          
33390         CORTILONA CRA 30GR                      31        80694546    Ramirez/Karina                          
59121         DESLORATADINA 5MG 10T                   5         54815159    Patino/Delicia                          
59121         DESLORATADINA 5MG 10T                   30        54815159    Patino/Delicia                          
79189         CLORFENAMINA 4MG T20                    25        54815159    Patino/Delicia                          
76360         DICLOXACILINA 250 MG C20                20        68114999    Rios/Ines                               
76360         DICLOXACILINA 250 MG C20                3         68269451    Asmad/Adria                             
92560         EXALVER FENILEFRINA PED. 30 ML          24        68269451    Asmad/Adria                             
53846         CLENBUTEROL .02MG 50T                   27        51465986    Sam/Ines                                
34080         ELECTROLIT FRESA 500ML                  22        51465986    Sam/Ines                                
34080         ELECTROLIT FRESA 500ML                  17        51465986    Sam/Ines                                
58252         KETOTIFENO SOL 120ML                    16        51465986    Sam/Ines                                
58252         KETOTIFENO SOL 120ML                    16        51465986    Sam/Ines                                
53846         CLENBUTEROL .02MG 50T                   7         99891737    Contreras/Johana                        
31189         CEFADROXILO 500MG C/16CAP               8         93961840    Pairazaman/Tatiana                      
31189         CEFADROXILO 500MG C/16CAP               5         93961840    Pairazaman/Tatiana                      
39088         NORFLOXACINO T20 400MG                  10        93961840    Pairazaman/Tatiana                      
39088         NORFLOXACINO T20 400MG                  33        93961840    Pairazaman/Tatiana                      
58036         PENTOXIFILINA 400MG T30                 5         93231760    Zarate/Alexander                        
95540         NAPROXENO 500 MG C/10 TAB               25        77440060    Escalante/Emigdio                       
33276         INDOMETACINA C30                        24        77440060    Escalante/Emigdio                       
75565         MICONAZOL 20 GR CRA                     2         94683380    Farfan/Margot                           
70303         AZITROMICINA SUSP                       22        80694546    Ramirez/Karina                          
90300         FLUOXETINA 20 MG C/14                   6         80694546    Ramirez/Karina                          
70303         AZITROMICINA SUSP                       3         80694546    Ramirez/Karina                          
12388         PROTEINAS+CREATINA 500 GR 30T           27        20371464    Lozada/Heli                             
96881         GABAPENTINA 300 MG C/15                 28        20371464    Lozada/Heli                             
57269         SIMVASTATINA 10 MG C14                  27        20371464    Lozada/Heli                             
77466         RAMIPRIL 16 TAB/5 MG                    32        72973662    Vargas/Daniel                           
16055         AMBROXOL C/20 TAB                       12        65912822    Camacho/Ydali                           
34080         ELECTROLIT FRESA 500ML                  26        65912822    Camacho/Ydali                           
73972         VITAMINA E 400 MG C90 CAPS              29        22598563    Sueldo/Adria                            
79996         LANSOPRAZOL 15 MG C/14                  23        22598563    Sueldo/Adria                            
58200         FLUCONAZOL 150MG. 1C                    9         22598563    Sueldo/Adria                            
57036         OXOLAMINA JBE 100ML                     10        62126128    Durand/Enrique                          
72969         ISOSORBIDE 10MG T/20                    7         62126128    Durand/Enrique                          
75565         MICONAZOL 20 GR CRA                     25        62126128    Durand/Enrique                          
34070         FEXOFENADINA C/10 180MG                 18        51873364    Calixto/Erick                           
16359         NAPROXENO 250 MG TAB C/30               22        51873364    Calixto/Erick                           
70113         TETRACICLINA 250MG 10T                  21        51873364    Calixto/Erick                           
72495         ACIDO GLUTAMICO 600 MG C/100            26        51873364    Calixto/Erick                           
55021         AMOXICILINA 500MG/5ML SUSP              29        51873364    Calixto/Erick                           
74924         TAMSULOSINA 0.4 MG CAPS 20              33        13731806    Salamanca/Virginia                      
94415         PRAVASTATINA 10 MG C/15                 5         13731806    Salamanca/Virginia                      
34080         ELECTROLIT FRESA 500ML                  24        13731806    Salamanca/Virginia                      
95540         NAPROXENO 500 MG C/10 TAB               8         77440060    Escalante/Emigdio                       
95540         NAPROXENO 500 MG C/10 TAB               30        77440060    Escalante/Emigdio                       
37549         TOPIRAMATO 100MG 20T                    29        77440060    Escalante/Emigdio                       
76238         BEZOCAINA 10GR GEL                      11        77440060    Escalante/Emigdio                       
95540         NAPROXENO 500 MG C/10 TAB               16        77440060    Escalante/Emigdio                       
77466         RAMIPRIL 16 TAB/5 MG                    4         53420926    Prado/Juan                              
36208         ENALAPRIL T/30 10MG                     21        53420926    Prado/Juan                              
31189         CEFADROXILO 500MG C/16CAP               26        53420926    Prado/Juan                              
58252         KETOTIFENO SOL 120ML                    30        51642949    Miranda/Alfonso                         
